"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Luka Doncic","DAL","PG DTD","2,370","646","686","38","99",".487",".786","284","282","70","2,624","478","520","2.43","149"
"Shai Gilgeous-Alexander","OKC","PG,SG","2,254","415","465","67","150",".535",".874","95","162","75","2,553","567","701","2.87","184"
"Giannis Antetokounmpo","MIL","PF,C DTD","2,222","841","476","79","87",".611",".657","34","250","73","2,567","514","803","1.90","210"
"Jalen Brunson","NYK","PG,SG DTD","2,212","278","519","13","70",".479",".847","211","186","77","2,726","421","579","2.79","144"
"Nikola Jokic","DEN","C DTD","2,085","976","708","68","108",".583",".817","83","237","79","2,737","358","739","2.99","194"
"Anthony Edwards","MIN","SG,SF","2,049","430","405","42","101",".461",".836","190","241","79","2,770","423","528","1.68","141"
"Kevin Durant","PHO","SF,PF","2,032","495","378","91","69",".523",".856","168","244","75","2,791","362","583","1.55","133"
"Jayson Tatum","BOS","SF,PF","1,987","601","364","43","75",".471",".833","229","188","74","2,645","414","443","1.94","145"
"De'Aaron Fox","SAC","PG","1,966","340","418","31","150",".465",".738","214","194","74","2,659","312","506","2.15","193"
"Stephen Curry","GSW","PG,SG","1,956","330","379","28","54",".450",".923","357","210","74","2,421","299","293","1.80","117"
"DeMar DeRozan","CHI","PF,SF,SG DTD","1,897","340","421","45","90",".480",".853","75","135","79","2,989","522","575","3.12","161"
"Anthony Davis","LAL","PF,C DTD","1,876","961","266","178","91",".556",".816","29","159","76","2,700","421","684","1.67","177"
"Devin Booker","PHO","PG,SF,SG","1,841","308","472","28","61",".492",".886","152","178","68","2,447","405","490","2.65","206"
"LeBron James","LAL","PF,SF DTD","1,822","518","589","38","89",".540",".750","149","245","71","2,504","303","536","2.40","78"
"Tyrese Maxey","PHI","PG,SG","1,816","258","433","33","69",".450",".868","212","116","70","2,626","328","426","3.73","151"
"Paolo Banchero","ORL","PF,SF","1,804","554","431","47","71",".455",".725","119","247","80","2,799","405","521","1.74","153"
"Damian Lillard","MIL","PG","1,775","320","508","18","72",".424",".920","220","193","73","2,579","473","321","2.63","134"
"Dejounte Murray","ATL","PG,SG","1,753","416","502","24","111",".459",".794","201","201","78","2,783","208","471","2.50","138"
"Pascal Siakam","IND","PF,C","1,737","565","342","25","63",".536",".732","85","141","80","2,658","290","596","2.43","193"
"Paul George","LAC","SF,PF,SG","1,671","388","262","37","113",".471",".907","243","153","74","2,502","264","339","1.71","202"
"Kawhi Leonard","LAC","PF,SF,SG DTD","1,613","416","244","59","111",".525",".885","140","119","68","2,330","253","470","2.05","97"
"Jaylen Brown","BOS","SG,SF","1,610","387","249","37","83",".499",".703","145","166","70","2,343","211","482","1.50","185"
"Jalen Green","HOU","PG,SG","1,610","423","291","28","66",".423",".804","201","191","82","2,602","283","362","1.52","115"
"Mikal Bridges","BKN","PF,SF,SG","1,606","372","299","30","81",".436",".814","220","164","82","2,854","258","344","1.82","116"
"Zion Williamson","NOR","C,PF OUT","1,601","406","352","47","77",".570",".702","6","193","70","2,207","347","618","1.82","159"
"Domantas Sabonis","SAC","PF,C","1,593","1,120","673","48","74",".594",".704","33","272","82","2,928","292","601","2.47","250"
"Kyle Kuzma","WAS","SF,PF DTD","1,553","465","296","49","37",".463",".775","151","192","70","2,281","186","457","1.54","153"
"Victor Wembanyama","SAS","C,PF","1,522","755","274","254","88",".465",".796","128","260","71","2,106","292","423","1.05","153"
"Coby White","CHI","PG,SG DTD","1,509","358","405","18","53",".448",".839","209","166","79","2,881","218","332","2.44","186"
"Kyrie Irving","DAL","PG,SG","1,487","290","299","28","74",".497",".905","173","106","58","2,030","190","389","2.82","112"
"Jaren Jackson Jr.","MEM","PF,C","1,486","365","154","106","80",".444",".808","117","160","66","2,124","337","399","0.96","235"
"Cam Thomas","BKN","SF,SG","1,482","214","192","16","45",".442",".856","144","124","66","2,075","286","382","1.55","138"
"Donovan Mitchell","CLE","PG,SG DTD","1,463","280","333","30","101",".462",".865","182","154","55","1,943","275","321","2.16","118"
"Collin Sexton","UTH","PG,SG","1,458","205","383","18","62",".488",".860","128","165","78","2,075","318","378","2.32","154"
"Miles Bridges","CHA","SF,PF","1,449","505","231","33","65",".462",".825","157","138","69","2,581","174","402","1.67","118"
"Franz Wagner","ORL","PF,SF,SG DTD","1,421","381","269","28","76",".481",".850","94","137","72","2,337","271","434","1.96","168"
"Cade Cunningham","DET","PG,SG DTD","1,405","268","464","22","56",".449",".869","119","212","62","2,074","238","405","2.19","153"
"Tyrese Haliburton","IND","PG,SG DTD","1,389","271","752","48","83",".477",".855","195","159","69","2,224","194","305","4.73","75"
"Trae Young","ATL","PG","1,389","149","583","11","72",".430",".855","175","235","54","1,942","348","258","2.48","109"
"Klay Thompson","GSW","SG,SF DTD","1,375","254","176","35","50",".433",".927","268","117","77","2,284","127","222","1.50","127"
"Nikola Vucevic","CHI","C","1,370","801","254","60","50",".484",".822","92","120","76","2,610","106","494","2.12","190"
"D'Angelo Russell","LAL","PG,SG","1,369","236","482","36","69",".456",".828","226","156","76","2,484","159","266","3.09","156"
"Bam Adebayo","MIA","C DTD","1,367","737","278","66","81",".521",".755","15","162","71","2,416","292","515","1.72","159"
"Chet Holmgren","OKC","C,PF","1,357","648","200","190","53",".530",".793","129","131","82","2,413","218","376","1.53","197"
"Michael Porter Jr.","DEN","PF,SF DTD","1,356","565","122","53","42",".484",".836","220","92","81","2,565","92","302","1.33","148"
"Jordan Poole","WAS","PG,SG","1,356","212","343","25","86",".413",".877","184","188","78","2,346","192","306","1.82","244"
"Jalen Williams","OKC","PF,SF,SG DTD","1,355","282","322","45","80",".540",".815","103","123","71","2,223","180","433","2.62","175"
"Joel Embiid","PHI","C DTD","1,353","430","219","66","46",".529",".883","54","150","39","1,309","399","396","1.46","112"
"Karl-Anthony Towns","MIN","C,PF","1,349","515","189","41","43",".504",".873","136","177","62","2,026","255","343","1.07","204"
"Bogdan Bogdanovic","ATL","PF,SF,SG","1,333","272","247","26","96",".428",".921","240","112","79","2,401","151","231","2.21","179"
"Brandon Ingram","NOR","PF,SF,SG","1,332","324","363","40","50",".492",".801","86","163","64","2,103","246","414","2.23","145"
"Alperen Sengun","HOU","C OUT","1,331","589","312","46","76",".537",".693","33","162","63","2,046","244","494","1.93","211"
"Devin Vassell","SAS","SG,SF OUT","1,323","261","277","23","73",".472",".801","166","108","68","2,248","161","332","2.56","74"
"CJ McCollum","NOR","PG,SG","1,322","286","305","41","62",".459",".827","239","110","66","2,159","115","245","2.77","126"
"Myles Turner","IND","C","1,313","533","100","144","39",".524",".773","116","109","77","2,076","245","360","0.92","232"
"Austin Reaves","LAL","PG,SF,SG","1,300","352","450","25","66",".486",".853","154","174","82","2,629","232","303","2.59","153"
"Brandon Miller","CHA","SF,SG","1,279","315","175","42","66",".440",".827","184","132","74","2,383","143","292","1.33","184"
"Lauri Markkanen","UTH","PF,SF DTD","1,278","449","110","26","50",".480",".899","175","77","55","1,820","249","252","1.43","100"
"Jarrett Allen","CLE","C DTD","1,271","811","210","81","53",".634",".742","0","121","77","2,442","233","519","1.74","147"
"Fred VanVleet","HOU","PG","1,270","278","589","59","101",".416",".860","227","126","73","2,684","197","196","4.67","183"
"Donte DiVincenzo","NYK","SF,SG","1,259","297","216","36","107",".443",".754","283","113","81","2,360","86","162","1.91","166"
"Jamal Murray","DEN","PG,SG DTD","1,250","242","384","39","57",".481",".853","145","125","59","1,861","157","329","3.07","104"
"Jimmy Butler","MIA","PF,SF","1,246","318","298","17","79",".499",".858","60","102","60","2,042","394","336","2.92","68"
"Terry Rozier","MIA","PG,SG DTD","1,205","247","342","21","63",".443",".869","149","106","61","2,040","172","293","3.23","101"
"Tobias Harris","PHI","SF,PF","1,204","453","217","46","70",".487",".878","91","93","70","2,368","187","372","2.33","115"
"James Harden","LAC","PG,SG DTD","1,192","369","614","57","77",".428",".878","186","185","72","2,470","302","166","3.32","127"
"Scottie Barnes","TOR","PF,SF,SG","1,191","494","363","88","75",".475",".781","101","165","60","2,094","196","346","2.20","118"
"Jonathan Kuminga","GSW","PF","1,188","355","163","36","55",".529",".746","53","122","74","1,949","223","403","1.34","169"
"Jaden Ivey","DET","PG,SG","1,185","264","296","41","57",".429",".749","124","190","77","2,217","227","293","1.56","204"
"Keegan Murray","SAC","PF,SF DTD","1,172","420","129","59","79",".454",".831","183","64","77","2,588","103","260","2.02","205"
"RJ Barrett","TOR","SG,SF OUT","1,170","315","193","22","31",".496",".715","90","126","58","1,838","208","346","1.53","129"
"Immanuel Quickley","TOR","PG,SG","1,156","259","331","10","50",".434",".853","171","101","68","1,985","209","217","3.28","119"
"Kristaps Porzingis","BOS","PF,C DTD","1,145","409","115","111","42",".516",".858","110","89","57","1,690","259","278","1.29","156"
"Tim Hardaway Jr.","DAL","SG,SF","1,139","254","139","6","42",".402",".852","211","69","79","2,120","144","181","2.01","106"
"Jerami Grant","POR","PF,SF OUT","1,132","191","152","34","45",".451",".817","111","116","55","1,830","255","272","1.31","117"
"Bobby Portis Jr.","MIL","PF,C DTD","1,130","607","104","34","68",".508",".790","100","91","82","2,008","98","366","1.14","189"
"Dennis Schroder","BKN","PG OUT","1,122","242","488","17","63",".435",".836","138","153","80","2,486","178","265","3.19","164"
"Malik Monk","SAC","SF,SG","1,110","212","370","39","45",".443",".829","148","150","72","1,872","170","248","2.47","156"
"Derrick White","BOS","PG,SG","1,107","310","377","87","74",".461",".901","196","112","73","2,381","137","191","3.37","152"
"Julius Randle","NYK","PF OUT","1,102","423","229","12","25",".473",".782","76","159","46","1,630","236","319","1.44","125"
"Deni Avdija","WAS","PF,SF DTD","1,102","540","286","36","60",".506",".740","88","160","75","2,257","202","318","1.79","185"
"Naz Reid","MIN","C,PF","1,090","423","106","73","63",".477",".737","169","111","81","1,964","109","237","0.96","172"
"Keldon Johnson","SAS","PF,SF,SG DTD","1,084","377","195","20","51",".454",".792","127","100","69","2,038","175","264","1.95","149"
"Corey Kispert","WAS","SG,SF","1,070","225","156","16","41",".486",".726","184","98","80","2,067","114","202","1.59","141"
"Rudy Gobert","MIN","C","1,061","981","102","162","52",".662",".639","0","118","76","2,593","249","406","0.86","238"
"Norman Powell","LAC","SG,SF DTD","1,056","195","83","22","43",".486",".831","167","66","76","1,990","143","206","1.26","137"
"Kelly Oubre Jr.","PHI","PF,SF,SG","1,049","341","101","47","77",".441",".750","101","87","68","2,055","174","286","1.16","194"
"Jabari Smith Jr.","HOU","C,PF","1,044","616","121","61","52",".454",".811","138","89","76","2,424","150","240","1.36","200"
"Anfernee Simons","POR","PG,SG DTD","1,039","167","255","5","23",".430",".916","156","126","46","1,582","163","204","2.02","98"
"Darius Garland","CLE","PG DTD","1,028","152","373","7","74",".446",".834","132","176","57","1,901","146","243","2.12","95"
"John Collins","UTH","C,PF","1,027","575","77","61","40",".532",".795","86","98","68","1,901","147","311","0.79","191"
"Grayson Allen","PHO","SG,SF","1,014","295","227","45","69",".499",".878","205","95","75","2,513","129","135","2.39","157"
"Aaron Gordon","DEN","PF DTD","1,013","471","259","45","56",".556",".658","40","105","73","2,297","177","358","2.47","142"
"Buddy Hield","PHI","SG,SF","1,013","269","236","42","70",".437",".881","219","103","84","2,160","52","152","2.29","169"
"Jonas Valanciunas","NOR","C","1,002","721","173","68","32",".559",".785","37","111","82","1,925","161","365","1.56","218"
"Harrison Barnes","SAC","SF,PF","1,000","249","99","12","54",".474",".801","149","58","82","2,381","157","198","1.71","98"
"Desmond Bane","MEM","SF,SG","997","185","230","22","43",".464",".870","137","112","42","1,443","140","223","2.05","120"
"Brook Lopez","MIL","C DTD","990","409","127","188","43",".485",".821","148","79","79","2,411","110","218","1.61","191"
"Josh Giddey","OKC","PF,PG,SF,SG","986","514","386","44","51",".475",".807","82","168","80","2,012","100","320","2.30","111"
"Gary Trent Jr.","TOR","PG,SG DTD","974","188","119","10","77",".426",".771","178","47","71","1,994","74","183","2.53","96"
"Keyonte George","UTH","PG,SG","974","211","332","7","36",".391",".848","147","188","75","2,023","189","172","1.77","91"
"Bradley Beal","PHO","PG,SG","964","232","265","27","52",".513",".813","101","131","53","1,767","109","276","2.02","127"
"Caris LeVert","CLE","SG,SF","952","280","346","34","76",".421",".766","108","117","68","1,958","154","237","2.96","121"
"Jalen Suggs","ORL","PG,SG","943","229","205","47","106",".471",".756","153","132","75","2,025","118","183","1.55","205"
"Jordan Clarkson","UTH","PG,SG OUT","942","188","277","6","35",".413",".881","91","146","55","1,682","177","246","1.90","81"
"Andrew Wiggins","GSW","PF,SF","939","321","119","41","42",".453",".751","91","87","71","1,920","142","262","1.37","147"
"P.J. Washington Jr.","DAL","C,PF","939","411","141","59","72",".437",".683","132","96","73","2,221","99","222","1.47","169"
"Cole Anthony","ORL","PG","937","311","236","37","64",".435",".826","93","126","81","1,817","180","239","1.87","175"
"Ayo Dosunmu","CHI","PG,SF,SG DTD","924","216","242","36","68",".501",".810","119","103","76","2,212","85","241","2.35","166"
"Rui Hachimura","LAL","SF,PF","923","294","81","25","41",".537",".739","98","46","68","1,826","99","265","1.76","101"
"Deandre Ayton","POR","C","920","609","90","42","56",".570",".823","1","99","55","1,784","65","426","0.91","109"
"Dillon Brooks","HOU","SG,SF","915","246","119","10","64",".428",".844","133","88","72","2,227","124","196","1.35","241"
"Jalen Johnson","ATL","PF,SF","896","488","203","47","67",".511",".728","71","101","56","1,889","107","288","2.01","133"
"De'Andre Hunter","ATL","SF,PF","891","222","87","16","40",".459",".847","117","83","57","1,681","166","187","1.05","146"
"Jaime Jaquez Jr.","MIA","SF,SG","889","285","195","20","77",".489",".811","65","110","75","2,113","142","276","1.77","167"
"Malik Beasley","MIL","SF,SG","889","290","108","9","59",".443",".714","224","54","79","2,337","25","96","2.00","158"
"Aaron Nesmith","IND","PF,SF","877","275","108","49","65",".496",".781","140","64","72","1,995","107","175","1.69","241"
"Tyler Herro","MIA","PG,SG DTD","875","222","188","3","30",".441",".856","132","93","42","1,407","95","192","2.02","63"
"Duncan Robinson","MIA","SF,SG DTD","875","173","192","16","46",".450",".889","187","95","68","1,905","80","117","2.02","163"
"Mike Conley","MIN","PG","869","218","449","17","88",".457",".911","179","102","76","2,193","102","115","4.40","128"
"Moritz Wagner","ORL","PF,C","868","348","96","21","39",".603",".814","38","97","80","1,415","166","294","0.99","160"
"Bojan Bogdanovic","NYK","PF,SF,SG OUT","868","152","97","5","30",".454",".785","133","101","57","1,478","117","176","0.96","95"
"Scoot Henderson","POR","PG","868","194","336","13","48",".385",".819","87","212","62","1,765","167","220","1.58","195"
"Saddiq Bey","ATL","PF,SF OUT","863","411","92","11","51",".416",".837","113","54","63","2,062","170","177","1.70","88"
"Jeremy Sochan","SAS","PF,PG OUT","861","476","249","40","62",".438",".771","70","140","74","2,193","111","270","1.78","168"
"Jrue Holiday","BOS","PG,SG DTD","860","373","333","53","61",".480",".833","138","124","69","2,263","60","193","2.69","108"
"Luguentz Dort","OKC","SG,SF","860","284","113","47","72",".438",".826","156","74","79","2,246","128","132","1.53","228"
"Bennedict Mathurin","IND","SF,SG OUT","856","234","119","14","35",".447",".821","80","97","59","1,538","184","216","1.23","117"
"Max Strus","CLE","SG,SF","853","338","283","29","64",".418",".794","168","112","70","2,239","77","136","2.53","170"
"Obi Toppin","IND","PF","843","320","128","43","47",".573",".770","102","69","82","1,730","77","230","1.86","143"
"Trey Murphy III","NOR","PF,SF,SG","842","280","124","28","51",".443",".815","169","34","57","1,690","123","106","3.65","70"
"Nic Claxton","BKN","C,PF","841","706","147","146","46",".629",".551","1","93","71","2,116","108","365","1.58","175"
"Jalen Duren","DET","C","841","709","147","47","33",".619",".790","0","129","61","1,777","143","349","1.14","192"
"Herbert Jones","NOR","PF,SF","837","272","199","62","105",".498",".867","114","93","76","2,321","137","179","2.14","224"
"Clint Capela","ATL","C","836","775","91","106","43",".571",".631","0","74","73","1,883","130","353","1.23","164"
"Reggie Jackson","DEN","PG DTD","833","155","308","13","44",".431",".806","102","106","82","1,817","79","224","2.91","149"
"Jusuf Nurkic","PHO","C DTD","829","837","301","80","81",".510",".640","22","175","76","2,078","167","298","1.72","254"
"Khris Middleton","MIL","PF,SF DTD","828","257","292","15","51",".493",".833","94","127","55","1,487","100","223","2.30","141"
"Daniel Gafford","DAL","C,PF","814","562","115","153","65",".725",".674","0","74","74","1,814","118","348","1.55","227"
"Spencer Dinwiddie","LAL","PG,SG","795","205","356","22","51",".392",".805","124","91","76","2,152","169","127","3.91","138"
"Ivica Zubac","LAC","C DTD","794","626","93","83","22",".649",".723","0","79","68","1,795","120","337","1.18","180"
"Tyus Jones","WAS","PG OUT","790","179","485","18","71",".490",".800","106","66","66","1,933","32","220","7.35","48"
"Payton Pritchard","BOS","PG,SG","787","265","281","6","39",".468",".821","147","61","82","1,826","46","150","4.61","106"
"Evan Mobley","CLE","C,PF DTD","785","468","160","72","45",".580",".719","22","90","50","1,532","123","298","1.78","134"
"Grant Williams","CHA","C,PF","784","318","174","39","44",".456",".757","126","109","76","2,129","106","150","1.60","226"
"Cameron Johnson","BKN","SF,PF DTD","776","251","138","15","49",".446",".789","138","57","58","1,599","86","138","2.42","105"
"Zach Collins","SAS","PF,C","776","370","194","52","35",".484",".753","58","132","69","1,526","122","240","1.47","206"
"Tre Jones","SAS","PG","771","289","478","9","78",".505",".856","64","116","77","2,138","101","239","4.12","92"
"Georges Niang","CLE","PF","768","278","98","18","30",".449",".850","149","72","82","1,831","51","135","1.36","192"
"Kentavious Caldwell-Pope","DEN","SF,SG DTD","766","183","183","42","98",".460",".894","125","75","76","2,402","101","145","2.44","151"
