"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Brandon Clarke","MEM","C,PF","68","32","9","6","5",".559",".143","1","3","6","134","1","32","3.00","8"
"Markieff Morris","DAL","PF","66","39","16","3","5",".338",".833","15","12","26","216","5","8","1.33","12"
"Colby Jones","SAC","SF,SG","64","40","20","5","7",".394",".546","2","10","30","192","6","26","2.00","29"
"Charles Bassey","SAS","C OUT","63","76","21","17","8",".725",".833","0","15","19","205","5","29","1.40","31"
"Nate Williams","HOU","PG,SG","63","23","7","1","4",".540",".539","2","4","22","129","7","25","1.75","10"
"Cory Joseph","FA","PG,SG FA","63","30","42","3","4",".359",".571","13","12","26","296","4","10","3.50","25"
"Justin Minaya","POR","SF DTD","61","56","21","10","9",".297",".556","12","9","34","381","5","10","2.33","35"
"Theo Maledon","FA","PG FA","59","24","28","0","7",".286",".933","5","18","17","213","14","15","1.56","21"
"Harry Giles III","LAL","PF,C TWO-WAY","56","30","6","3","2",".460",".539","3","6","23","100","7","20","1.00","15"
"Brandon Williams","DAL","PG OUT","54","13","17","1","1",".370",".647","3","7","17","113","11","17","2.43","4"
"Micah Potter","UTH","C,PF G-League","53","43","6","6","4",".475",".750","9","5","16","186","6","10","1.20","14"
"Terquavion Smith","PHI","PG G-League","52","4","12","0","8",".391",".600","13","7","16","84","3","5","1.71","8"
"P.J. Tucker","LAC","PF,SF","52","85","16","7","16",".360","1.000","13","8","31","486","3","5","2.00","54"
"Jeff Dowtin Jr.","PHI","PG","52","20","27","1","7",".556",".750","9","5","12","142","3","11","5.40","1"
"Josh Minott","MIN","PF,SF,SG G-League","50","17","8","4","5",".472",".857","4","2","32","91","12","13","4.00","10"
"James Bouknight","FA","SG FA","50","9","6","1","1",".439",".500","13","2","14","81","1","5","3.00","3"
"Darius Bazley","UTH","C,PF,SF","48","28","7","7","6",".600",".833","2","8","9","152","10","16","0.88","3"
"Maozinha Pereira","FA","PF,SF FA","48","37","2","4","6",".514",".700","5","5","7","122","7","13","0.40","10"
"AJ Griffin","ATL","SF,SG OUT","48","18","5","2","1",".290","1.000","10","8","20","171","2","8","0.63","6"
"Jahmi'us Ramsey","TOR","SG,PG M-LEAGUE","47","22","8","0","7",".439",".833","6","7","7","121","5","12","1.14","10"
"Terry Taylor","CHI","C,PF,SG","46","37","10","2","5",".513",".800","2","7","31","188","4","18","1.43","17"
"Sidy Cissoko","SAS","SF,SG","45","22","10","3","7",".485",".800","1","3","12","141","12","15","3.33","18"
"Boban Marjanovic","HOU","C","45","32","6","2","1",".529",".643","0","5","14","71","9","18","1.20","5"
"Ryan Rollins","MIL","PG,SG","44","13","14","3","10",".519",".765","3","8","13","78","13","11","1.75","8"
"DeJon Jarreau","FA","PG,SG G-League","43","44","26","2","6",".340",".455","4","9","9","150","5","13","2.89","14"
"Dylan Windler","ATL","SF","43","16","10","0","2",".500",".000","13","2","17","108","0","2","5.00","6"
"Armoni Brooks","FA","PG FA","42","18","5","1","1",".326",".500","11","3","10","104","1","4","1.67","3"
"Cole Swider","MIA","PF,SF G-League","42","7","5","1","1",".395","1.000","10","8","18","87","2","5","0.63","4"
"Jalen Pickett","DEN","PG,SG","42","14","21","0","4",".429",".750","9","9","27","122","3","6","2.33","13"
"Zavier Simpson","MEM","PG","42","20","25","3","7",".315",".750","5","10","7","161","3","12","2.50","11"
"T.J. Warren","MIN","SF,PF","41","22","9","1","4",".439",".750","2","4","11","125","3","16","2.25","11"
"Robert Williams III","POR","C OUT","41","38","5","7","7",".654",".778","0","7","6","119","7","17","0.71","17"
"Emoni Bates","CLE","SF","41","14","10","2","1",".306",".250","10","8","15","133","1","5","1.25","5"
"Trevelin Queen","ORL","SG G-League","40","20","18","5","7",".368",".750","3","7","14","165","9","11","2.57","15"
"Dru Smith","FA","PG,SG G-League","39","14","14","3","9",".455","1.000","7","5","9","131","2","8","2.80","12"
"Otto Porter Jr.","FA","PF,SF,SG RET","39","29","8","5","5",".424","1.000","8","2","15","174","3","6","4.00","19"
"Joe Harris","FA","SG,SF FA","39","13","10","2","3",".359",".500","10","4","16","170","1","4","2.50","19"
"Marques Bolden","CHA","C TWO-WAY","37","34","4","7","3",".680",".750","0","3","11","121","3","17","1.33","10"
"Adama Sanogo","CHI","C,PF","36","36","0","0","1",".519",".667","0","5","9","66","8","14","0.00","5"
"Udoka Azubuike","PHO","C","35","32","3","6","1",".696",".231","0","4","16","113","3","16","0.75","17"
"Ibou Badji","POR","C G-League","34","51","13","20","3",".636",".500","0","15","22","226","6","14","0.87","46"
"Jalen Hood-Schifino","LAL","PG,SG","34","13","8","2","3",".222",".600","2","9","21","109","12","8","0.89","13"
"Buddy Boeheim","DET","SF,SG","34","10","3","1","0",".310",".800","8","0","10","84","8","1","0.00","5"
"Gabe Vincent","LAL","PG,SG","34","9","21","0","9",".306",".500","3","5","11","218","1","12","4.20","19"
"Taj Gibson","DET","PF,C","34","37","11","7","3",".405","1.000","2","5","20","205","2","13","2.20","31"
"Olivier Sarr","OKC","C TWO-WAY","34","36","2","7","0",".579",".667","2","3","15","98","10","9","0.67","18"
"Xavier Moon","LAC","PG,SG TWO-WAY","33","18","21","3","3",".326",".500","2","5","14","119","1","13","4.20","8"
"Nate Hinton","HOU","SG G-League","33","22","10","2","3",".423",".800","7","3","15","75","4","4","3.33","11"
"Nathan Mensah","FA","C FA","33","65","9","14","6",".429",".750","0","14","25","307","9","12","0.64","64"
"Matt Hurt","FA","PF FA","32","16","4","3","3",".353","1.000","5","2","8","113","3","7","2.00","8"
"Thanasis Antetokounmpo","MIL","SF,PF OUT","32","13","17","4","7",".533",".000","0","14","34","155","0","16","1.21","24"
"Jerome Robinson","GSW","SG","31","6","5","3","1",".333",".636","2","2","22","81","7","9","2.50","5"
"Keon Johnson","PHO","PG,SG","31","7","3","1","3",".381",".917","4","5","5","61","11","4","0.60","5"
"Jett Howard","ORL","SF,SG","29","7","6","2","2",".333",".500","7","3","18","67","2","3","2.00","4"
"Moussa Diabate","LAC","C,PF TWO-WAY","29","24","4","1","5",".526",".643","0","2","11","64","9","10","2.00","4"
"Leonard Miller","MIN","PF,SF G-League","29","20","8","1","2",".650",".500","2","1","17","52","1","11","8.00","5"
"Daishen Nix","MIN","SG,PG TWO-WAY","27","3","6","0","5",".375",".500","6","5","15","50","3","3","1.20","2"
"Oscar Tshiebwe","IND","C,PF TWO-WAY","26","16","2","1","2",".500",".750","0","0","8","42","6","10","0.00","3"
"Chris Livingston","MIL","SF G-League","26","21","5","0","2",".500",".750","1","5","21","91","3","10","1.00","15"
"David Duke Jr.","SAS","SF,SG","26","10","5","0","2",".556","1.000","3","3","4","51","3","7","1.67","4"
